"id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza","Tipo"
1,"ESPAÑA","Madrid","Colegio Público","AULAS ITINERANTES","00000025","Centro público","0"
2,"ESPAÑA","Madrid","Colegio Público","CENTROS EXTERIOR","00000050","Centro público","0"
3,"ESPAÑA","Madrid","Colegio Público","CENTROS ONCE","00000075","Centro público","0"
4,"ESPAÑA","Alegria-Dulantzi","Colegio Público","COM. DULANTZI","01000019","Centro público","0"
5,"ESPAÑA","Amurrio","Colegio Público","ZABALEKO","01000020","Centro público","0"
6,"ESPAÑA","Amurrio","Centro Privado con varias Enseñanzas de Régimen General","VIRGEN NIÑA","01000068","Centro privado","1"
7,"ESPAÑA","Ibarra","Colegio Público","SAN MARTIN","01000111","Centro público","0"
8,"ESPAÑA","Artziniega","Colegio Público","ARTEKO GURE AMA","01000123","Centro público","0"
9,"ESPAÑA","Artziniega","Centro Privado de Educación Primaria","SEMINARIO MARISTA","01000135","Centro privado","2"
10,"ESPAÑA","Araia","Colegio Público","COM.ARAIA","01000147","Centro público","0"
11,"ESPAÑA","Santa Cruz de Campezo/Santikurutze Kanpezu","Colegio Público","COM. YOAR","01000184","Centro público","0"
12,"ESPAÑA","Elciego","Colegio Público","ELCIEGO","01000202","Centro público","0"
13,"ESPAÑA","Labastida","Colegio Público","LABASTIDA","01000226","Centro público","0"
14,"ESPAÑA","Laguardia","Colegio Público","VICTOR TAPIA","01000238","Centro público","0"
15,"ESPAÑA","Laudio/Llodio","Centro Privado con varias Enseñanzas de Régimen General","LA MILAGROSA","01000317","Centro privado","1"
16,"ESPAÑA","Laudio/Llodio","Colegio Público","FABIAN LEGORBURU AXPE","01000378","Centro público","0"
17,"ESPAÑA","Laudio/Llodio","Instituto de Educación Secundaria (IES)","ESCUELA MUN.DE F.P.","01000411","Centro público","0"
18,"ESPAÑA","Laudio/Llodio","Colegio Público de Educación Especial","STA.MARIA DEL YERMO","01000433","Centro público","0"
19,"ESPAÑA","Maeztu/Maestu","Colegio Público","MAEZTU","01000445","Centro público","0"
20,"ESPAÑA","Nanclares de la Oca/Langraiz Oka","Colegio Público","COM.JOSE MIGUEL DE BARANDIARAN","01000469","Centro público","0"
21,"ESPAÑA","Nanclares de la Oca/Langraiz Oka","Centro Privado de Educación Secundaria","COLEGIO APOSTOLICO SAN JOSE","01000470","Centro privado","2"
22,"ESPAÑA","Zudiviarte","Escuela de Educación Infantil","OKONDO HE.","01000482","Centro público","0"
23,"ESPAÑA","Oyon-Oion","Colegio Público","RAMIRO DE MAEZTU","01000494","Centro público","0"
24,"ESPAÑA","Ribabellosa","Colegio Público","UNAMUNZAGA","01000500","Centro público","0"
25,"ESPAÑA","Salvatierra o Agurain","Centro Privado con varias Enseñanzas de Régimen General","LAUTADA IKASTOLA","01000524","Centro privado","1"
26,"ESPAÑA","Salvatierra o Agurain","Colegio Público","COM.MARCOS SAGASTI","01000548","Centro público","0"
27,"ESPAÑA","Izarra","Colegio Público","IZARRA","01000573","Centro público","0"
28,"ESPAÑA","Villanueva de Valdegovia","Colegio Público","COM.GOBEA","01000597","Centro público","0"
29,"ESPAÑA","Abetxuko","Centro Privado con varias Enseñanzas de Régimen General","INMACULADA CONCEPCION","01000639","Centro privado","1"
30,"ESPAÑA","Ehari/Ali","Escuela de Educación Infantil","ESCUELA INFANTIL DE Ehari/Ali","01000688","Centro público","0"
31,"ESPAÑA","Arcaute","Instituto de Formación Profesional","C.DE CAPACITACION AGRARIA","01000706","Centro público","0"
32,"ESPAÑA","Vitoria-Gasteiz","Centro Privado de Educación Infantil","CENTRO PREESC.ANGEL DE LA GUARDA","01000780","Centro privado","2"
33,"ESPAÑA","Vitoria-Gasteiz","Colegio Público","CANDIDO RUIZ DE GARIBAY-ANDRA MARI","01000937","Centro público","0"
34,"ESPAÑA","Vitoria-Gasteiz","Colegio Público","LUIS DORAO","01000974","Centro público","0"
35,"ESPAÑA","Vitoria-Gasteiz","Colegio Público","MIGUEL DE CERVANTES","01001000","Centro público","0"
36,"ESPAÑA","Vitoria-Gasteiz","Colegio Público","SANTA MARIA DE ESTIBALIZ","01001036","Centro público","0"
37,"ESPAÑA","Vitoria-Gasteiz","Colegio Público","RAMON BAJO","01001051","Centro público","0"
38,"ESPAÑA","Vitoria-Gasteiz","Colegio Público","SAN MARTIN","01001073","Centro público","0"
39,"ESPAÑA","Vitoria-Gasteiz","Colegio Público","SANTA MARIA DE VITORIA","01001085","Centro público","0"
40,"ESPAÑA","Vitoria-Gasteiz","Colegio Público","COLEGIO DE EDUCACIÓN PRIMARIA DE Vitoria-Gasteiz","01001139","Centro público","0"
41,"ESPAÑA","Vitoria-Gasteiz","Centro Privado con varias Enseñanzas de Régimen General","PEDAGÓGICA SAN PRUDENCIO","01001176","Centro privado","1"
42,"ESPAÑA","Vitoria-Gasteiz","Centro Privado con varias Enseñanzas de Régimen General","CALASANCIO","01001188","Centro privado","1"
43,"ESPAÑA","Vitoria-Gasteiz","Centro Privado con varias Enseñanzas de Régimen General","CALASANZ","01001191","Centro privado","1"
